coverable,provincia,cant_ocompra_2024,cant_ocompra_2025,costo_pieza_prom_2024,costo_pieza_prom_2025,variacion_costo_pieza
AUT,buenos_aires,14581,10457,235736,261650,"10,99%"
AUT,capital_federal,2704,2297,275123,316267,"14,95%"
AUT,catamarca,19,10,424411,193791,"-54,34%"
AUT,chaco,780,525,251366,243596,"-3,09%"
AUT,chubut,2004,1078,203024,229858,"13,22%"
AUT,cordoba,5251,3798,217400,245706,"13,02%"
AUT,corrientes,566,395,239773,249252,"3,95%"
AUT,entre_rios,1066,722,211844,240917,"13,72%"
AUT,formosa,73,50,211963,304000,"43,42%"
AUT,jujuy,36,15,183837,316158,"71,98%"
AUT,la_pampa,347,255,269967,276713,"2,50%"
AUT,la_rioja,16,27,321887,429309,"33,37%"
AUT,mendoza,904,605,221662,225048,"1,53%"
AUT,misiones,526,351,287819,280069,"-2,69%"
AUT,neuquen,1434,947,213455,227237,"6,46%"
AUT,rio_negro,497,473,200481,231706,"15,58%"
AUT,salta,158,83,184146,216778,"17,72%"
AUT,san_juan,153,163,233645,259123,"10,90%"
AUT,san_luis,137,116,253580,217489,"-14,23%"
AUT,santa_cruz,548,442,240332,272489,"13,38%"
AUT,santa_fe,11260,9084,218350,274336,"25,64%"
AUT,santiago_del_estero,44,50,250148,306836,"22,66%"
AUT,tierra_del_fuego,322,307,338510,340105,"0,47%"
AUT,tucuman,81,62,211756,276959,"30,79%"
CAM,buenos_aires,184,119,502307,623688,"24,16%"
CAM,capital_federal,1,1,370861,2310857,"523,11%"
CAM,catamarca,0,0,,,
CAM,chaco,6,1,948361,363797,"-61,64%"
CAM,chubut,3,1,309685,228501,"-26,22%"
CAM,cordoba,53,25,430006,484192,"12,60%"
CAM,corrientes,1,5,2600000,985714,"-62,09%"
CAM,entre_rios,4,0,471288,,
CAM,formosa,0,0,,,
CAM,jujuy,2,0,186027,,
CAM,la_pampa,0,0,,,
CAM,la_rioja,0,0,,,
CAM,mendoza,1,1,2273333,472630,"-79,21%"
CAM,misiones,0,0,,,
CAM,neuquen,1,1,98087,1450000,"1378,28%"
CAM,rio_negro,1,4,357153,1362033,"281,36%"
CAM,salta,4,2,633111,465249,"-26,51%"
CAM,san_juan,0,1,,1392510,
CAM,san_luis,0,0,,,
CAM,santa_cruz,1,2,377520,1321343,"250,01%"
CAM,santa_fe,175,155,491769,491160,"-0,12%"
CAM,santiago_del_estero,0,0,,,
CAM,tierra_del_fuego,2,7,613079,727555,"18,67%"
CAM,tucuman,3,0,505725,,