año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto
2023,2023-01-01,919,1112,1.21,94714.21,105322202.24999999,7.361365493,775315225.3,697225.9221,,366.1818182,287622.6973,6.402000964,,Capot
2023,2023-02-01,705,840,1.19,103136.57,86634719.54,6.903800792,598108845.3,712034.3397,0.02123905201,375.9411765,230447.5406,5.125840576,-0.1993377375,Capot
2023,2023-03-01,1049,1229,1.17,105870.2,130114470.20000002,6.411688334,834253430.6,678806.697,-0.0466657868,380.1956522,342230.295,7.60748444,0.484143786,Capot
2023,2023-04-01,897,1079,1.2,110470.79,119197982.90000002,5.914694866,705019697.5,653401.0172,-0.03742697284,419.7941176,283943.9094,6.307481826,-0.1708846891,Capot
2023,2023-05-01,928,1105,1.19,120076.21,132684212.02,5.488117083,728186490.6,658992.2992,0.00855719824,477.7272727,277740.5009,6.165571534,-0.02249872393,Capot
2023,2023-06-01,1023,1210,1.18,143219.41,173295487.79000002,5.179871626,897648380.1,741858.1654,0.1257463346,487.9347826,355161.169,7.878813812,0.2778724191,Capot
2023,2023-07-01,922,1106,1.2,143610.38,158833079.19,4.870825041,773648139.5,699501.0303,-0.05709600171,516.5714286,307475.5405,6.816430355,-0.1348405333,Capot
2023,2023-08-01,1068,1281,1.2,177050.85,226802136.94,4.331869528,982477265.8,766961.1755,0.09644038008,646.9375,350578.1269,7.766634769,0.1393991231,Capot
2023,2023-09-01,956,1134,1.19,195280.63,221448231.82000002,3.842021399,850808845.5,750272.3505,-0.0217596738,733.875,301751.9766,6.680362555,-0.1398639497,Capot
2023,2023-10-01,887,1068,1.2,223405.73,238597323.64000002,3.547515877,846427793.7,792535.3874,0.05633026043,912.7666667,261400.1282,5.783188676,-0.1343001778,Capot
2023,2023-11-01,979,1203,1.23,253638.89,305127588.85,3.144662861,959523396.4,797608.8083,0.006401507073,931.75,327477.9596,7.240122031,0.2519256135,Capot
2023,2023-12-01,795,947,1.19,349234.98,330725527.51000005,2.506392972,828928137.9,875320.1034,0.09743033716,965.5263158,342533.9342,7.567970973,0.04528223971,Capot
2024,2024-01-01,949,1093,1.15,387937.35,424015526.90000004,2.078024351,881114590.1,806143.2664,-0.07903033049,1141.8,371357.0913,8.199176264,0.08340482458,Capot
2024,2024-02-01,871,1030,1.18,426663.71,439463620.1499999,1.83505117,806438230.4,782949.7383,-0.0287709754,1081.354167,406401.19,8.96677603,0.09361913213,Capot
2024,2024-03-01,813,960,1.18,475360.21,456345797.64000005,1.653054794,754364608.5,785796.4672,0.003635902501,1001.603774,455615.0942,10.04619629,0.1203799735,Capot
2024,2024-04-01,922,1086,1.18,463056.96,502879862.0500001,1.518906202,763827341.2,703340.0932,-0.1049335005,1004.75,500502.4753,11.02841318,0.09777002752,Capot
2024,2024-05-01,935,1103,1.18,452336.43,498927079.25,1.458014726,727443028.9,659513.1721,-0.06231255902,1119.583333,445636.3938,9.812969718,-0.1102101853,Capot
2024,2024-06-01,692,831,1.2,485240.89,403235177.16,1.394201219,562190975.6,676523.4364,0.02579215239,1278.611111,315369.6802,6.939742984,-0.2927988995,Capot
2024,2024-07-01,1004,1188,1.18,481723.06,572286994.1200001,1.340179473,766967282.3,645595.3555,-0.04571620023,1416.022727,404150.995,8.887518032,0.2806696231,Capot
2024,2024-08-01,957,1127,1.18,477013.69,537594431.0799999,1.28650305,691616875.4,613679.57,-0.0494362068,1340.681818,400985.8445,8.811907362,-0.00850751236,Capot
2024,2024-09-01,856,1022,1.19,477845.64,488358240.68000007,1.243368026,607209021.7,594137.986,-0.03184330224,1243.269231,392801.6785,8.626178815,-0.02107699726,Capot
2024,2024-10-01,896,1054,1.18,491875.94,518437245.37,1.210777079,627711933.4,595552.119,0.002380142457,1201.0,431671.3117,9.473539738,0.09823131908,Capot
2024,2024-11-01,763,883,1.16,479798.45,423662031.42,1.182092931,500807892.4,567166.3561,-0.04766293667,1124.047619,376907.5475,8.266060213,-0.1274581158,Capot
2024,2024-12-01,659,788,1.2,521460.98,410911250.15999985,1.150969518,472946323.3,600185.6895,0.05821807496,1105.2,371798.091,8.148642054,-0.01420485171,Capot
2025,2025-01-01,845,1017,1.2,513583.43,522314351.54999995,1.126071535,588163323.7,578331.6851,-0.03641207185,1216.785714,429257.4653,9.401582753,0.1537606745,Capot
2025,2025-02-01,798,948,1.19,482901.62,457790736.32000005,1.099661757,503414965.3,531028.4445,-0.08179257997,1212.727273,377488.6132,8.262133405,-0.1211976087,Capot
2025,2025-03-01,730,848,1.16,495301.44,420015618.49,1.0601261,445269519.5,525081.9806,-0.0111980139,1251.764706,335538.793,7.339475315,-0.1116731049,Capot
2025,2025-04-01,890,1020,1.15,543832.62,554709275.1499999,1.031443353,572151194.9,560932.544,0.06827612601,1263.888889,438890.8551,9.593662129,0.3071318749,Capot
2025,2025-05-01,947,1097,1.16,531383.51,582927705.2299999,1.016189249,592364866.9,539986.205,-0.0373419928,1162.142857,501597.2878,10.95716912,0.1421258087,Capot
2025,2025-06-01,846,991,1.17,523395.25,518684691.5299999,1.0,518684691.5,523395.2488,-0.03072477794,1181.842105,438878.1625,9.580609979,-0.125630911,Capot
2025,2025-07-01,615,734,1.19,499417.21,366572231.1399999,,,,,1282.727273,285775.6586,6.234334488,-0.3492758288,Capot
2023,2023-01-01,717,909,1.27,106222.46,96556213.06,7.361365493,710785575.0,781942.3267,,366.1818182,263683.7993,5.869161068,,Optica
2023,2023-02-01,565,692,1.22,112086.81,77564072.53,6.903800792,535486905.3,773825.0077,-0.01038096897,375.9411765,206319.7047,4.589165549,-0.2180883272,Optica
2023,2023-03-01,786,1010,1.28,118479.11,119663905.64999998,6.411688334,767247667.8,759651.1562,-0.01831661076,380.1956522,314742.9619,6.996464719,0.5245614142,Optica
2023,2023-04-01,718,924,1.29,111830.22,103331126.53,5.914694866,611172083.6,661441.6489,-0.1292823772,419.7941176,246147.1521,5.467871073,-0.2184808624,Optica
2023,2023-05-01,793,1007,1.27,132168.97,133094150.29000002,5.488117083,730436279.9,725358.7685,0.09663304335,477.7272727,278598.6019,6.184620551,0.1310838291,Optica
2023,2023-06-01,833,1063,1.28,180108.44,191455274.11,5.179871626,991713742.0,932938.6096,0.2861754074,487.9347826,392378.8197,8.704441629,0.4074334161,Optica
2023,2023-07-01,760,983,1.29,160004.89,157284804.98999998,4.870825041,766106766.7,779355.8156,-0.1646226155,516.5714286,304478.3282,6.749985108,-0.2245355422,Optica
2023,2023-08-01,854,1084,1.27,202625.52,219646063.1099999,4.331869528,951478087.7,877747.3133,0.1262472105,646.9375,339516.666,7.521581471,0.1143108245,Optica
2023,2023-09-01,768,957,1.25,203800.7,195037266.06000006,3.842021399,749337349.8,783006.6352,-0.1079361642,733.875,265763.6056,5.883630852,-0.2177667854,Optica
2023,2023-10-01,724,919,1.27,231289.1,212554679.13,3.547515877,754041098.9,820501.7398,0.04788606246,912.7666667,232868.5817,5.151959773,-0.1243570675,Optica
2023,2023-11-01,824,1035,1.26,310544.24,321413285.62,3.144662861,1010736422.0,976556.9296,0.1901948311,931.75,344956.5716,7.626551958,0.4803205565,Optica
2023,2023-12-01,621,776,1.25,344383.01,267241218.52,2.506392972,669811512.0,863159.165,-0.1161199734,965.5263158,276782.9464,6.115263613,-0.1981614173,Optica
2024,2024-01-01,770,969,1.26,419651.21,406642024.0600001,2.078024351,845012028.2,872045.4367,0.01029505575,1141.8,356141.2017,7.86322533,0.2858358735,Optica
2024,2024-02-01,656,844,1.29,522423.71,440925611.67999995,1.83505117,809121059.7,958674.2413,0.09933978321,1081.354167,407753.1906,8.996606373,0.1441369152,Optica
2024,2024-03-01,615,782,1.27,523649.21,409493683.3300001,1.653054794,676915496.3,865620.8393,-0.09706467331,1001.603774,408837.9997,9.014773323,0.002019311409,Optica
2024,2024-04-01,701,895,1.28,533269.17,477275905.41999996,1.518906202,724937332.7,809985.8466,-0.06427178063,1004.75,475019.5625,10.46690528,0.1610835801,Optica
2024,2024-05-01,732,897,1.23,555210.93,498024206.98999995,1.458014726,726126627.8,809505.7166,-0.0005927634067,1119.583333,444829.9579,9.795211897,-0.06417306444,Optica
2024,2024-06-01,596,756,1.27,540803.67,408847577.48999995,1.394201219,570015791.0,753989.1415,-0.06858083141,1278.611111,319759.1308,7.036333306,-0.2816558355,Optica
2024,2024-07-01,791,987,1.25,551647.57,544476148.77,1.340179473,729695758.3,739306.746,-0.01947295363,1416.022727,384510.8827,8.455620414,0.2017083395,Optica
2024,2024-08-01,732,946,1.29,552082.01,522269584.0899999,1.28650305,671901413.0,710255.1934,-0.03929566812,1340.681818,389555.2077,8.560712178,0.01242862845,Optica
2024,2024-09-01,687,867,1.26,565210.09,490037144.9499999,1.243368026,609296517.5,702764.1494,-0.01054697534,1243.269231,394152.0733,8.655834357,0.01111147962,Optica
2024,2024-10-01,651,821,1.26,595595.12,488983597.59,1.210777079,592050131.8,721132.9255,0.02613789574,1201.0,407147.0421,8.935325509,0.03228933689,Optica
2024,2024-11-01,611,732,1.2,595535.11,435931700.7099999,1.182092931,515311781.7,703977.8439,-0.02378906989,1124.047619,387823.161,8.50545345,-0.04810927791,Optica
2024,2024-12-01,528,667,1.26,601998.51,401533006.56999993,1.150969518,462152250.8,692881.9353,-0.0157617299,1105.2,363312.5286,7.962665276,-0.06381648871,Optica
2025,2025-01-01,703,875,1.24,619137.0,541744878.9599998,1.126071535,610043487.5,697192.5572,0.006221293525,1216.785714,445226.1993,9.751329435,0.2246313384,Optica
2025,2025-02-01,576,730,1.27,631712.27,461149958.76,1.099661757,507108973.8,694669.8271,-0.003618412211,1212.727273,380258.5867,8.32276011,-0.1464999551,Optica
2025,2025-03-01,600,756,1.26,610995.51,461912608.0799999,1.0601261,489685611.7,647732.2906,-0.06756812331,1251.764706,369009.1324,8.07159552,-0.03017804033,Optica
2025,2025-04-01,651,817,1.25,612801.94,500659182.26,1.031443353,516401585.8,632070.4845,-0.02417944311,1263.888889,396125.9464,8.658869162,0.07275806127,Optica
2025,2025-05-01,665,827,1.24,607514.17,502414215.3599999,1.016189249,510547924.1,617349.3641,-0.02329031458,1162.142857,432317.0876,9.443774031,0.09064750312,Optica
2025,2025-06-01,594,748,1.26,600914.67,449484175.5899999,1.0,449484175.6,600914.6732,-0.0266213781,1181.842105,380325.0651,8.302409244,-0.1208589683,Optica
2025,2025-07-01,479,600,1.25,649725.92,389835550.32,,,,,1282.727273,303911.485,6.62997633,-0.2014394695,Optica
2023,2023-01-01,832,832,1.0,86662.03,72102805.1,7.361365493,530775101.4,637950.8431,,366.1818182,196904.3833,4.382762778,,Paragolpe Del
2023,2023-02-01,642,642,1.0,95006.11,60993925.79999998,6.903800792,421089913.2,655903.2916,0.02814080228,375.9411765,162243.27,3.608774189,-0.1765983304,Paragolpe Del
2023,2023-03-01,956,956,1.0,96910.46,92646401.66000001,6.411688334,594019852.7,621359.6785,-0.05266571084,380.1956522,243680.8552,5.416815347,0.5010125495,Paragolpe Del
2023,2023-04-01,816,816,1.0,99903.86,81521551.83,5.914694866,482175104.1,590900.8629,-0.04901962052,419.7941176,194194.1261,4.313795369,-0.2036288681,Paragolpe Del
2023,2023-05-01,858,858,1.0,113900.3,97726458.89,5.488117083,536334248.5,625098.1917,0.05787320851,477.7272727,204565.3754,4.541154248,0.05270506818,Paragolpe Del
2023,2023-06-01,963,963,1.0,131414.41,126552074.12000002,5.179871626,655523497.9,680709.759,0.08896453071,487.9347826,259362.6825,5.753642188,0.2669999461,Paragolpe Del
2023,2023-07-01,844,844,1.0,131974.0,111386053.58,4.870825041,542541979.0,642822.25,-0.05565883034,516.5714286,215625.6568,4.780208762,-0.1691856035,Paragolpe Del
2023,2023-08-01,990,990,1.0,165486.76,163831891.43999997,4.331869528,709698378.2,716867.0487,0.11518705,646.9375,253242.2242,5.610275465,0.1736465383,Paragolpe Del
2023,2023-09-01,890,890,1.0,175673.17,156349123.88000005,3.842021399,600696679.7,674940.0895,-0.05848638071,733.875,213045.9872,4.716537242,-0.159303804,Paragolpe Del
2023,2023-10-01,815,816,1.0,202619.28,165337329.5,3.547515877,586536801.4,718795.0998,0.06497615254,912.7666667,181138.6585,4.007492444,-0.1503316441,Paragolpe Del
2023,2023-11-01,908,908,1.0,234003.02,212474739.75999996,3.144662861,668161422.9,735860.5979,0.02374181205,931.75,228038.3577,5.041638648,0.2580531886,Paragolpe Del
2023,2023-12-01,727,727,1.0,324560.87,235955750.78,2.506392972,591397835.5,813477.0778,0.1054771516,965.5263158,244380.4451,5.399360268,0.07095344291,Paragolpe Del
2024,2024-01-01,831,831,1.0,356197.66,296000251.75,2.078024351,615095731.1,740187.402,-0.09009433429,1141.8,259240.0173,5.723748505,0.06007901335,Paragolpe Del
2024,2024-02-01,779,779,1.0,391361.47,304870585.97999996,1.83505117,559453125.6,718168.3255,-0.02974797523,1081.354167,281934.0743,6.220551912,0.0867968616,Paragolpe Del
2024,2024-03-01,718,718,1.0,434666.09,312090251.76000005,1.653054794,515902286.8,718526.8619,0.0004992372363,1001.603774,311590.5311,6.870491513,0.1044826263,Paragolpe Del
2024,2024-04-01,802,802,1.0,425791.33,341484643.58000004,1.518906202,518683142.9,646737.086,-0.09991244545,1004.75,339870.2598,7.488933298,0.09001419818,Paragolpe Del
2024,2024-05-01,857,857,1.0,418350.19,358526111.49,1.458014726,522736350.3,609960.7355,-0.05686445281,1119.583333,320231.7334,7.051543245,-0.0584048536,Paragolpe Del
2024,2024-06-01,633,633,1.0,450547.28,285196429.74000007,1.394201219,397621210.1,628153.5704,0.02982623941,1278.611111,223051.7374,4.908276942,-0.3039428715,Paragolpe Del
2024,2024-07-01,917,918,1.0,434599.87,398962676.3,1.340179473,534681589.4,582441.8185,-0.07277161838,1416.022727,281748.7803,6.195821355,0.2623210606,Paragolpe Del
2024,2024-08-01,883,883,1.0,434955.96,384066108.32,1.28650305,494102219.9,559572.1629,-0.03926513319,1340.681818,286470.7368,6.295368352,0.01606679576,Paragolpe Del
2024,2024-09-01,782,783,1.0,435628.88,341097411.7000001,1.243368026,424109615.4,541647.0184,-0.03203366012,1243.269231,274355.2267,6.025018156,-0.0429443014,Paragolpe Del
2024,2024-10-01,831,831,1.0,448372.91,372597886.41,1.210777079,451132980.4,542879.6395,0.0022756907,1201.0,310239.7056,6.808578887,0.1300511819,Paragolpe Del
2024,2024-11-01,708,708,1.0,457291.89,323762656.84999996,1.182092931,382717547.9,540561.5084,-0.004270064587,1124.047619,288032.8657,6.316925799,-0.07221082352,Paragolpe Del
2024,2024-12-01,598,598,1.0,456651.31,273077483.7699999,1.150969518,314303859.7,525591.7387,-0.02769299972,1105.2,247084.2235,5.41530724,-0.1427305919,Paragolpe Del
2025,2025-01-01,770,770,1.0,472573.99,363881971.52,1.126071535,409757130.3,532152.1173,0.0124818906,1216.785714,299051.8111,6.549822836,0.2095016119,Paragolpe Del
2025,2025-02-01,713,713,1.0,431989.01,308008163.36,1.099661757,338704798.0,475041.7925,-0.1073195482,1212.727273,253979.7449,5.558881676,-0.1512928189,Paragolpe Del
2025,2025-03-01,632,632,1.0,449707.04,284214848.34000003,1.0601261,301303578.7,476746.1688,0.003587845068,1251.764706,227051.3356,4.966453083,-0.1065733411,Paragolpe Del
2025,2025-04-01,682,682,1.0,467682.06,318959163.67,1.031443353,328988309.4,482387.5504,0.01183309261,1263.888889,252363.2943,5.516378734,0.1107280471,Paragolpe Del
2025,2025-05-01,747,747,1.0,457421.81,341694094.16,1.016189249,347225864.9,464827.1283,-0.03640314107,1162.142857,294020.7325,6.422751814,0.1643058106,Paragolpe Del
2025,2025-06-01,696,696,1.0,459160.78,319575901.66,1.0,319575901.7,459160.7782,-0.01219023105,1181.842105,270404.9045,5.902877263,-0.08094264977,Paragolpe Del
2025,2025-07-01,542,542,1.0,441403.82,239240868.04000002,,,,,1282.727273,186509.5357,4.068795909,-0.3107097221,Paragolpe Del
2023,2023-01-01,477,478,1.0,92387.65,44161296.21,7.361365493,325087442.1,680099.2512,,366.1818182,120599.369,2.684340575,,Paragolpe Tras
2023,2023-02-01,365,365,1.0,99236.89,36221465.24999999,6.903800792,250065780.5,685111.7273,0.007370212668,375.9411765,96348.75751,2.143083712,-0.2016349445,Paragolpe Tras
2023,2023-03-01,610,610,1.0,122248.57,74571624.67,6.411688334,478130015.9,783819.6982,0.1440757281,380.1956522,196140.1301,4.36002601,1.034463696,Paragolpe Tras
2023,2023-04-01,543,543,1.0,114402.13,62120355.17,5.914694866,367422945.8,676653.6755,-0.1367227985,419.7941176,147978.1459,3.287161425,-0.246068391,Paragolpe Tras
2023,2023-05-01,494,494,1.0,130138.42,64288377.71,5.488117083,352822144.0,714214.8663,0.05551021462,477.7272727,134571.2949,2.987353096,-0.09120584292,Paragolpe Tras
2023,2023-06-01,494,494,1.0,130875.56,64652525.28000001,5.179871626,334891781.2,677918.5855,-0.0508198338,487.9347826,132502.3909,2.93940261,-0.01605116115,Paragolpe Tras
2023,2023-07-01,532,532,1.0,141279.96,75160940.14999999,4.870825041,366095789.4,688149.9801,0.01509236478,516.5714286,145499.6076,3.225583213,0.09736012422,Paragolpe Tras
2023,2023-08-01,554,554,1.0,168689.24,93453840.62999998,4.331869528,404829844.5,730739.7915,0.06189030388,646.9375,144455.7482,3.200242545,-0.007856150848,Paragolpe Tras
2023,2023-09-01,552,552,1.0,190710.27,105272069.79000004,3.842021399,404457544.9,732712.9436,0.002700211726,733.875,143446.8674,3.175711033,-0.007665516476,Paragolpe Tras
2023,2023-10-01,470,470,1.0,216870.91,101929326.76000004,3.547515877,361595905.0,769352.9893,0.05000600307,912.7666667,111670.7374,2.470591536,-0.2220351568,Paragolpe Tras
2023,2023-11-01,553,553,1.0,271666.13,150231367.99999997,3.144662861,472427003.4,854298.3787,0.1104114634,931.75,161235.7049,3.564716784,0.4428596278,Paragolpe Tras
2023,2023-12-01,424,424,1.0,339473.88,143936924.32999998,2.506392972,360762495.6,850854.9425,-0.004030718483,965.5263158,149076.1277,3.293699381,-0.07602775185,Paragolpe Tras
2024,2024-01-01,511,511,1.0,393599.39,201129288.8,2.078024351,417951559.8,817909.1191,-0.03872084624,1141.8,176151.0674,3.889231375,0.1808094563,Paragolpe Tras
2024,2024-02-01,488,488,1.0,434545.28,212058095.31999996,1.83505117,389137456.0,797412.8196,-0.02505938493,1081.354167,196104.2014,4.326814232,0.1125113974,Paragolpe Tras
2024,2024-03-01,430,430,1.0,441500.16,189845069.68,1.653054794,313824302.5,729823.9594,-0.08476018762,1001.603774,189541.0887,4.179332525,-0.03408551851,Paragolpe Tras
2024,2024-04-01,453,453,1.0,449677.86,203704069.04,1.518906202,309407373.8,683018.4852,-0.06413255362,1004.75,202741.0491,4.467334664,0.0689110371,Paragolpe Tras
2024,2024-05-01,540,540,1.0,457407.6,247000103.29999998,1.458014726,360129788.0,666907.0148,-0.02358863009,1119.583333,220617.8816,4.858033638,0.08745684033,Paragolpe Tras
2024,2024-06-01,353,353,1.0,467162.95,164908522.06,1.394201219,229915662.5,651319.1573,-0.02337335969,1278.611111,128974.7294,2.838102487,-0.4157919237,Paragolpe Tras
2024,2024-07-01,494,494,1.0,456128.12,225327292.89000002,1.340179473,301979012.7,611293.548,-0.06145314299,1416.022727,159126.8901,3.499293884,0.2329695284,Paragolpe Tras
2024,2024-08-01,467,467,1.0,467780.15,218453329.73,1.28650305,281040875.0,601800.5889,-0.01552929694,1340.681818,162941.9649,3.580748596,0.02327747106,Paragolpe Tras
2024,2024-09-01,394,394,1.0,445792.56,175642268.51,1.243368026,218387980.7,554284.2149,-0.07895700823,1243.269231,141274.5238,3.102479879,-0.1335666842,Paragolpe Tras
2024,2024-10-01,461,461,1.0,468935.99,216179490.89000002,1.210777079,261745172.5,567776.9468,0.02434262334,1201.0,179999.5761,3.950304527,0.273273214,Paragolpe Tras
2024,2024-11-01,452,452,1.0,491503.72,222159680.74,1.182092931,262613388.1,581003.0711,0.02329457791,1124.047619,197642.5882,4.334552454,0.09727045699,Paragolpe Tras
2024,2024-12-01,416,416,1.0,535660.41,222834728.63000003,1.150969518,256475980.1,616528.7983,0.0611455068,1105.2,201623.8949,4.418960153,0.01947322119,Paragolpe Tras
2025,2025-01-01,399,399,1.0,507558.68,202515914.81,1.126071535,228047407.1,571547.3862,-0.07295914195,1216.785714,166435.1516,3.645257164,-0.175087116,Paragolpe Tras
2025,2025-02-01,387,387,1.0,501816.93,194203152.3,1.099661757,213557779.6,551828.8879,-0.03450019846,1212.727273,160137.5319,3.504947184,-0.03849110606,Paragolpe Tras
2025,2025-03-01,422,422,1.0,508310.45,214507009.77,1.0601261,227404479.7,538873.1746,-0.02347777305,1251.764706,171363.6826,3.748357998,0.06944778392,Paragolpe Tras
2025,2025-04-01,421,421,1.0,502653.92,211617301.16,1.031443353,218271258.7,518459.0469,-0.03788299108,1263.888889,167433.469,3.659907953,-0.02359701106,Paragolpe Tras
2025,2025-05-01,451,451,1.0,497049.68,224169405.29000002,1.016189249,227798539.6,505096.5401,-0.02577350497,1162.142857,192893.1576,4.213665027,0.151303552,Paragolpe Tras
2025,2025-06-01,425,425,1.0,499033.02,212089033.65,1.0,212089033.7,499033.0204,-0.01200467482,1181.842105,179456.3188,3.917490424,-0.07028907161,Paragolpe Tras
2025,2025-07-01,267,267,1.0,476287.51,127168765.0,,,,,1282.727273,99139.36322,2.162773255,-0.4479186876,Paragolpe Tras
